Student,LPIPS,SSIM
109820011.png,0.3219650089740753,0.6643341125309312
110820043.png,0.34435179829597473,0.6690611937093197
112598018.png,0.41339635848999023,0.6625393814305458
109820017.png,0.43167808651924133,0.5952204583238834
110820032.png,0.46680793166160583,0.5823430102368492
110820052.png,0.5010549426078796,0.5301254685267979
110820054.png,0.5125703811645508,0.6227368246959628
110820001.png,0.5289496779441833,0.5223535491511695
